Order,Family,Genus,Species,Scientific Name,Common Name,Species Code,Generalist/Specialist,Migration,Feeding_Class_Breed1,Substrate_Breed1,Forage_Breed1,Nesting_Substrate1,Nesting_Habitat1,Nesting_Habitat2,Nesting_Habitat3,UICN,
Passeriformes,Tyrannidae,Empidonax,alnorum,Empidonax alnorum,Alder Flycatcher ,ALFL,S,Neotropical migrant,Insectivore,Air,Sallier,Shrub,Treed/shrubby swamp,Early successional,Bogs,Least Concern,Ground
Passeriformes,Corvidae,Corvus ,brachyrhynchos,Corvus brachyrhynchos,American Crow,AMCR,,Short distance migrant,Omnivore,Ground,Forager,Coniferous tree,Woodlands,Agricultural,Urban,,
Passeriformes,Parulidae,Setophaga,ruticilla,Setophaga ruticilla,American Restart,AMRE,,Neotropical migrant,Insectivore,Lower canopy / shrub,Gleaner,Deciduous tree,Deciduous woodlands,Mixed woodlands,Early successional,Least Concern,Cavity
Passeriformes,Turdidae,Turdus,migratorius,Turdus migratorius,American Robin,AMRO,G,Short distance migrant,Omnivore,Lower canopy / shrub,Forager,Tree - non-specific,Urban,Agricultural,Woodlands,Least Concern,Cavity
Passeriformes,Passerillidae,Spizelloides,,Spizelloides arborea,American Tree Sparrow,ATSP,,Short distance migrant,Omnivore,Ground,Forager,Ground,Bogs,Open woodlands,Tundra,,
Passeriformes,Picidae,Picoides,dorsalis,Picoides dorsalis,American Three-toed Woodpecker ,ATTW,S,Resident,Insectivore,Bark,Excavator,Snag,,,,,
Passeriformes,Parulidae,Mniotilta,varia,Mniotilta varia,Black-and-white Warbler ,BAWW,,Neotropical migrant,Insectivore,Bark,Gleaner,Ground,Mixed woodlands,Deciduous woodlands,Woodlands,,
Passeriformes,Parulidae,Setophaga,castanea,Setophaga castanea,Bay-breasted Warbler,BBWA,,Neotropical migrant,Insectivore,Upper canopy,Gleaner,Coniferous tree,Coniferous woodlands,Mixed woodlands,Open woodlands,,
Piciformes,Picidae,Picoides,arcticus,Picoides arcticus,Black-backed Woodpecker,BBWO,S,Resident,Insectivore,Bark,Scaler,Snag,Coniferous woodlands,Mixed woodlands,Bogs,,
Passeriformes,Paridae,Poecile,attricapillus,Poecile atricapillus,Black-capped Chickadee ,BCCH,,Resident,Insectivore,Lower canopy / shrub,Gleaner,Snag,Mixed woodlands,Deciduous woodlands,Open woodlands,,
Passeriformes,Icteridae,Molothrus,ater,Molothrus ater,Brown-headed Cowbird ,BHCO,,Short distance migrant,Omnivore,Ground,Forager,Deciduous tree,Agricultural,Woodlands,Urban,,
Passeriformes,Vireonidae,Vireo,solitarius,Vireo solitarius,Blue-headed Vireo ,BHVI,S,Short distance migrant,Insectivore,Lower canopy / shrub,Gleaner,Coniferous tree,Mixed woodlands,Coniferous woodlands,None,,
Passeriformes,Parulidae,Setophaga,striata,Setophaga striata,Blackpoll Warbler,BLPW,,Neotropical migrant,Insectivore,Upper canopy,Gleaner,Coniferous tree,Coniferous woodlands,Bogs,None,,
Passeriformes,Paridae,Poecile,hudsonicus,Poecile hudsonicus,Boreal Chickadee ,BOCH,S,Resident,Insectivore,Lower canopy / shrub,Gleaner,Snag,Coniferous woodlands,Mixed woodlands,Bogs,,
Passeriformes,Certhiidae,Certhia ,americana,Certhia americana,Brown Creeper ,BRCR,,Short distance migrant,Insectivore,Bark,Gleaner,Snag,Mixed woodlands,Deciduous woodlands,Coniferous woodlands,,
Passeriformes,Parulidae,Setophaga,virens,Setophaga virens,Black-throated Green Warbler,BTNW,,Neotropical migrant,Insectivore,Upper canopy,Gleaner,Coniferous tree,Coniferous woodlands,Mixed woodlands,Deciduous woodlands,,
Passeriformes,Parulidae,Cardellina,canadensis,Cardellina canadensis,Canada Warbler,CAWA,,Neotropical migrant,Insectivore,Lower canopy / shrub,Gleaner,Ground,Deciduous woodlands,Mixed woodlands,Riparian woodlands,,
Passeriformes,Passerellidae,Spizella,pallida,Spizella pallida,Clay-colored Sparrow,CCSP,G,Neotropical migrant,Omnivore,Ground,Forager,Shrub,Early successional,Burned/logged areas,Woodlands,,
Passeriformes,Passerellidae,Spizella,passerina,Spizella passerina,Chipping Sparrow ,CHSP,G,Short distance migrant,Omnivore,Ground,Forager,Coniferous tree,Open woodlands,Woodlands,Agricultural,,
Passeriformes,Parulidae,Oporornis,agilis,Oporornis agilis,Connecticut Warbler,CONW,,Neotropical migrant,Insectivore,Ground,Gleaner,Ground,Bogs,Coniferous woodlands,Deciduous woodlands,,
Passeriformes,Corvidae,Corvus ,corax,Corvus corax,Common Raven ,CORA,,Resident,Omnivore,Ground,Scavenger,Cliff,Woodlands,Cliffs,None,,
