"","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"1","shrub",0.05,0.0875764969519568,0.0768540751357164,0.0929103550664536,0.0255049097928498,0.148678071714393,0.123173161921543,-0.159254833089465,-0.126836308982431,0.333437814596708,0.241757216356429
"2","shrub",0.15,0.123749588639073,0.124030705289349,0.145670399309916,0.0186754610079261,0.229737490029653,0.211062029021727,-0.297917582524665,-0.148737861286014,0.546330533562245,0.347922091649491
"3","shrub",0.25,0.129221225111479,0.163941758744856,0.177721611227453,-0.0292129030086924,0.269118826583139,0.298331729591831,-0.476710497396439,-0.21298620038447,0.716616420970885,0.432733764390444
"4","shrub",0.35,0.148396458419808,0.240187918830169,0.158831384584629,-0.0681618828196689,0.308964585391586,0.377126468211255,-0.633851585136551,-0.313189208579722,0.874654287708468,0.632182329433157
"5","shrub",0.45,0.158075966927599,0.310339030943058,0.146157153886129,-0.107166210842636,0.332137826647558,0.439304037490195,-0.766122267077928,-0.412428906625984,0.99109388288285,0.84237015670958
"6","shrub",0.55,0.135484587836535,0.333900093154119,0.112621445105416,-0.145280363383055,0.327043574672923,0.472323938055978,-0.853766270467022,-0.503424970957481,1.03552948175689,0.879730867898721
"7","shrub",0.65,0.11937034046807,0.364959374858686,0.0969797501923935,-0.169667618268859,0.332041521793973,0.501709140062832,-0.922231328363108,-0.615424176854178,1.08460523188822,0.906873574201626
"8","shrub",0.75,0.168605454819887,0.437247960298294,0.152635062171313,-0.221266675004604,0.460787176091399,0.682053851096002,-1.24434745164861,-0.660911112948413,1.4838679527354,0.944578105295407
"9","shrub",0.85,0.168694780055146,0.504008597460969,0.146593077106559,-0.257062678672878,0.503665366630551,0.760728045303429,-1.39815474662802,-0.943564468144625,1.64475743458569,0.991997384746619
"10","shrub",0.95,0.0857685929107632,0.588131170323033,0.0416957914475821,-0.316963943489016,0.480767315407773,0.797731258896789,-1.5135608318342,-1.59706622745204,1.67736420375296,0.997571275406655
"11","generalist",0.05,-0.0411413241211215,0.10992770151971,-0.0463579811875211,-0.112505912841412,0.0510361729950622,0.163542085836474,-0.357819041596123,-0.256683749446521,0.296349301749773,0.280636303167065
"12","generalist",0.15,-0.0650050001288886,0.139745465929068,-0.0859638062360533,-0.166198956301806,0.04184504059834,0.208043996900146,-0.478264951652026,-0.325260427835116,0.35391103594856,0.286535915777323
"13","generalist",0.25,-0.115491407188642,0.155055435078064,-0.160973995361549,-0.245313805789601,0.0130541964082401,0.258368002197841,-0.632865809086363,-0.350215030760407,0.400606199705002,0.256354704561769
"14","generalist",0.35,-0.172678692437861,0.188649965585047,-0.247628720612034,-0.324996764761099,0.000172943900930678,0.32516970866203,-0.812751327754143,-0.395798781602971,0.487927506893975,0.269485686174266
"15","generalist",0.45,-0.227871132076479,0.220597023469055,-0.315688671736635,-0.403888073996008,-0.0336295155418904,0.370258558454117,-0.959275911677184,-0.506617604067424,0.521758322139286,0.292495091070199
"16","generalist",0.55,-0.266892779573542,0.234871281406155,-0.309986672484221,-0.424573600229943,-0.0724053739895477,0.352168226240396,-0.952825939590537,-0.692814438742884,0.455846965371046,0.275048170797412
"17","generalist",0.65,-0.307855211485257,0.282341920549986,-0.277201544005499,-0.490630362076267,-0.0781620670910019,0.412468294985265,-1.10933280455416,-0.970826752590503,0.540540375386896,0.269229998969987
"18","generalist",0.75,-0.337786663547803,0.400889080320588,-0.302238755380935,-0.591381550208493,-0.029590664332006,0.561790885876487,-1.43406787902322,-1.3701465432094,0.813095664482724,0.382006115518935
"19","generalist",0.85,-0.43924144657975,0.572806061511108,-0.312034373180681,-0.703826998288535,-0.0292362343223847,0.67459076396615,-1.71571314423776,-2.27738186773342,0.98264991162684,0.39448639939626
