"","Species","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"1","ALFL","shrub",0.05,-0.0132156775248016,0.0416113824186501,-0.0204624103599557,-0.0352612959279973,0.0222223440522881,0.0574836399802853,-0.121486755898425,-0.126836308982431,0.108447804022716,0.0554624926313235
"2","ALFL","shrub",0.15,-0.0463404067564107,0.0548172369913289,-0.033226934071256,-0.101308566625839,-0.0120988601344963,0.0892097064913424,-0.235123126362852,-0.148737861286014,0.121715699602517,0.0439971526482911
"3","ALFL","shrub",0.25,-0.0857983961765335,0.0699563323584914,-0.0723684376961289,-0.156440744582234,-0.0342212300956701,0.122219514486564,-0.33977001631208,-0.204085687855255,0.149108041634176,0.0485101548510588
"4","ALFL","shrub",0.35,-0.13426622774532,0.09056304140701,-0.121683586859549,-0.216888413535816,-0.0789151372983641,0.137973276237452,-0.423848327891994,-0.274585523862727,0.128044777057814,0.047356457324935
"5","ALFL","shrub",0.45,-0.18281858851078,0.105695331402578,-0.182189789372692,-0.269198526744763,-0.121200698385166,0.147997828359598,-0.49119526928416,-0.345003928703785,0.100796044154231,0.027010530151386
"6","ALFL","shrub",0.55,-0.221408182559371,0.1114799840828,-0.210506280772291,-0.306831538285205,-0.149013769900548,0.157817768384658,-0.543558190862192,-0.402597226633868,0.0877128826764388,-0.0352072780353238
"7","ALFL","shrub",0.65,-0.268528607027466,0.125922495052917,-0.274634821831445,-0.358587560304827,-0.170631970737862,0.187955589566965,-0.640520944655274,-0.490729222887107,0.111301413612585,-0.0279353076313184
"8","ALFL","shrub",0.75,-0.323577643216982,0.124321498784159,-0.320805148633001,-0.429775311008691,-0.247095456386626,0.182679854622064,-0.703795092941787,-0.600887814045206,0.0269243255464698,-0.0597199217410795
"9","ALFL","shrub",0.85,-0.405365591658236,0.151662743111364,-0.396678438138644,-0.469834034619561,-0.33303221666822,0.136801817951341,-0.675036761546573,-0.856322919235662,-0.127829489741207,-0.116671493752227
"10","ALFL","shrub",0.95,-0.585026875102168,0.227629666691212,-0.540712760267433,-0.678626994217802,-0.417621969161786,0.261005025056016,-1.07013453180183,-1.40010566631832,-0.0261144315777627,-0.22315784203766
"11","AMCR","generalist",0.05,0.0767519668181867,0.0301671245800811,0.07714843747428,0.0674760046966595,0.0939452433523597,0.0264692386557001,0.0277721467131093,0.00404214099666315,0.13364910133591,0.150166976648405
"12","AMCR","generalist",0.15,0.131051589030257,0.0368848902250168,0.133713877143791,0.110950315499413,0.159737089487435,0.0487867739880218,0.0377701545173806,0.0337333151486445,0.232917250469468,0.197192500941769
"13","AMCR","generalist",0.25,0.113850284036126,0.0529865589483375,0.119642280914975,0.0927225839346663,0.158636989642013,0.0659144057073469,-0.00614902462635404,-0.0238043069000004,0.257508598203034,0.189868426540737
"14","AMCR","generalist",0.35,0.114803467684027,0.0777012764246163,0.126180377515686,0.0592873538836516,0.16217085389977,0.102883500016119,-0.0950378961405262,-0.0694402361725605,0.316496103923948,0.242887413820224
"15","AMCR","generalist",0.45,0.10761795658595,0.10353550380215,0.121230325022222,0.0534668861495895,0.164441161522108,0.110974275372518,-0.112994526909188,-0.120845075991912,0.330902574580885,0.287838103255537
"16","AMCR","generalist",0.55,0.0667151598933994,0.112416171370716,0.0868950245451655,0.0131099087300794,0.13172833098703,0.118618422256951,-0.164817724655346,-0.189356237380179,0.309655964372456,0.275048170797412
"17","AMCR","generalist",0.65,0.0428774655251763,0.121081165464786,0.0591418475748701,0.000902424439322892,0.108601502470616,0.107699078031293,-0.160646192607617,-0.259570149008169,0.270150119517556,0.250480327427864
"18","AMCR","generalist",0.75,0.166525367443195,0.151492471784707,0.200416282145014,0.0882752095580139,0.225463973151422,0.137188763593408,-0.117507935832098,-0.244394546329712,0.431247118541534,0.382006115518935
"19","AMCR","generalist",0.85,0.15488881321126,0.186590394091408,0.188435181980755,0.119941010500659,0.253560559392195,0.133619548891536,-0.0804883128366456,-0.379413440368601,0.453989882729499,0.39448639939626
"20","AMCR","generalist",0.95,0.0927940419710427,0.245836116091223,0.11386475635814,0.0412326684927731,0.297068851067152,0.255836182574379,-0.342521605368795,-0.653880298999505,0.68082312492872,0.399105021013935
