"","Habitat","ProportionAreaChosen","Coefficient","Estimate","Std. Error","t value","Pr(>|t|)","Trend"
"1","shrub",0.05,"Intercept",0.610391024525228,0.202752512362922,3.01052261898804,0.00269571586370648,"Declining"
"2",NA,NA,"Year",-0.000254907131922608,9.88460437104719e-05,-2.57882988892556,0.0101035200737206,NA
"3","shrub",0.15,"Intercept",-0.613471727082651,0.327555414783511,-1.87287921186743,0.0614749008739333,"Increasing"
"4",NA,NA,"Year",0.000359444815076412,0.000159690040187209,2.25089062946583,0.0246820773254023,NA
"5","shrub",0.25,"Intercept",-0.335726487112118,0.4340883925965,-0.773405815124357,0.439526591605882,"Increasing"
"6",NA,NA,"Year",0.000226693180021255,0.000211627070504547,1.0711917878974,0.284428706374905,NA
"7","shrub",0.35,"Intercept",0.280261440264492,0.636443906294736,0.440355288961951,0.659807024096103,"Stable"
"8",NA,NA,"Year",-6.42930189393869e-05,0.000310279569154072,-0.207209965885513,0.835902280570356,NA
"9","shrub",0.45,"Intercept",0.544947485482877,0.822230468602248,0.662767321684468,0.507683754220385,"Stable"
"10",NA,NA,"Year",-0.000188625801343382,0.000400854361272036,-0.470559433967023,0.638092562067407,NA
"11","shrub",0.55,"Intercept",0.364985297274551,0.884745660834416,0.412531322199793,0.680068236673585,"Stable"
"12",NA,NA,"Year",-0.000111896981686014,0.0004313318106113,-0.259422048022449,0.795381000794302,NA
"13","shrub",0.65,"Intercept",0.679526431926295,0.966870980937987,0.702809832256076,0.482392935051905,"Stable"
"14",NA,NA,"Year",-0.000273113647712443,0.000471369602923158,-0.579404454633376,0.562490751412877,NA
"15","shrub",0.75,"Intercept",2.14576846025502,1.15638397205822,1.85558474702465,0.0639059376698745,"Declining"
"16",NA,NA,"Year",-0.000963999515082944,0.000563761106168465,-1.70994328011496,0.0876910725375895,NA
"17","shrub",0.85,"Intercept",3.94148294666062,1.32840300579731,2.9670837309608,0.0031022419679675,"Declining"
"18",NA,NA,"Year",-0.00183948716070475,0.000647623943328141,-2.84036311451307,0.00462863589434939,NA
"19","shrub",0.95,"Intercept",7.60215883056255,1.53403173063838,4.95567247973348,8.92070225218768e-07,"Declining"
"20",NA,NA,"Year",-0.00366474414317491,0.000747872200116136,-4.90022779641471,1.17415272497952e-06,NA
"21","generalist",0.05,"Intercept",0.243435066749154,0.348038103299678,0.699449469587368,0.484582140913326,"Stable"
